iter	Logloss
0	0.6924466447
1	0.6919752396
2	0.6914473117
3	0.6910273975
4	0.6906576006
5	0.6901354625
6	0.68964795
7	0.6891467222
8	0.6886408519
9	0.6882201949
10	0.6878528203
11	0.6872047933
12	0.6868774268
13	0.6865584665
14	0.6861114391
15	0.6855919628
16	0.6851758679
17	0.6847355319
18	0.6843840271
19	0.6839859177
20	0.6836321445
21	0.6831722202
22	0.682753895
23	0.682342096
24	0.6820107171
25	0.6816394572
26	0.6813549546
27	0.6809492534
28	0.6805697652
29	0.6801479162
30	0.6797643208
31	0.6793142872
32	0.6788969497
33	0.6784290225
34	0.6780962328
35	0.6775620679
36	0.6770773945
37	0.6766696158
38	0.6763293822
39	0.6759217579
40	0.6756395896
41	0.675200011
42	0.6747519654
43	0.6744431493
44	0.6741001204
45	0.6736762337
46	0.6733613741
47	0.6730343818
48	0.6727492896
49	0.6724081027
50	0.6720301643
51	0.6717166104
52	0.6715060921
53	0.6711855463
54	0.6708263244
55	0.6704469384
56	0.6700858028
57	0.6697545395
58	0.6694448059
59	0.6691213787
60	0.6686834822
61	0.6683364535
62	0.6680380888
63	0.6676569082
64	0.6672325465
65	0.66673707
66	0.6664108083
67	0.6659690744
68	0.6656191224
69	0.665293511
70	0.6649320087
71	0.6645710344
72	0.6643037243
73	0.6639989209
74	0.6636757857
75	0.6633104753
76	0.6629451521
77	0.6625681805
78	0.6621185949
79	0.6617550359
80	0.6613604026
81	0.6608930854
82	0.6605816807
83	0.6601455821
84	0.6597775806
85	0.6593383647
86	0.6590178982
87	0.6586130164
88	0.6582207045
89	0.6576809585
90	0.6574361476
91	0.6569698783
92	0.6564999292
93	0.656143333
94	0.6557593545
95	0.655464358
96	0.6549949826
97	0.6545599879
98	0.654165617
99	0.6537751098
100	0.653282351
101	0.6528779963
102	0.6524623838
103	0.651979612
104	0.6515624223
105	0.6511509658
106	0.6507466812
107	0.6503925798
108	0.6499879149
109	0.6495952175
110	0.6492171723
111	0.6487219666
112	0.6483676717
113	0.6480371145
114	0.6475665151
115	0.6470756962
116	0.6466532185
117	0.6462157987
118	0.6456311107
119	0.6451487024
120	0.6446105721
121	0.6440610627
122	0.6435428559
123	0.6430059249
124	0.6424726335
125	0.6419100189
126	0.6413988681
127	0.640889621
128	0.6404595237
129	0.6400634668
130	0.6395326728
131	0.6389449794
132	0.6383450788
133	0.6377812024
134	0.637283274
135	0.6368477964
136	0.6364028788
137	0.6359446814
138	0.6353633801
139	0.6348265829
140	0.6343132807
141	0.6338569934
142	0.6334343555
143	0.6329137197
144	0.6324801645
145	0.6319309864
146	0.6314681258
147	0.6309757279
148	0.6304329657
149	0.6298817996
150	0.6293715642
151	0.6288428416
152	0.6283828297
153	0.627961967
154	0.6275663927
155	0.6270845662
156	0.6265688319
157	0.6260184461
158	0.6255251693
159	0.6250860586
160	0.6246547154
161	0.6242191462
162	0.6238056804
163	0.6233333732
164	0.6228306746
165	0.6222201147
166	0.6217299429
167	0.6211847792
168	0.6207088126
169	0.6201437394
170	0.6196717463
171	0.619207095
172	0.6188063637
173	0.6183864263
174	0.6179009313
175	0.6174278041
176	0.6169134434
177	0.6165203736
178	0.6159909655
179	0.6155146749
180	0.6150950554
181	0.6147706315
182	0.6142729423
183	0.6137643962
184	0.6133034554
185	0.6127356937
186	0.612302623
187	0.6118608574
188	0.6113717724
189	0.6109576904
190	0.6104286854
191	0.6099166263
192	0.6094103237
193	0.609014648
194	0.6085589063
195	0.608124834
196	0.6076852036
197	0.6072165517
198	0.606727537
199	0.6062477269
200	0.6058182443
201	0.6053415099
202	0.6049317486
203	0.6044440065
204	0.6039285178
205	0.6034906003
206	0.6029960083
207	0.6025038585
208	0.6020313479
209	0.6016119763
210	0.6012461386
211	0.6007611919
212	0.6003184204
213	0.5998621961
214	0.5994087195
215	0.5989847798
216	0.5984991275
217	0.5980482456
218	0.5976313786
219	0.5972047545
220	0.5967877559
221	0.596304594
222	0.595845671
223	0.5954873952
224	0.5949395505
225	0.5945253252
226	0.5940972262
227	0.5936644752
228	0.5931617264
229	0.5927763293
230	0.5923061016
231	0.5919360148
232	0.5915404044
233	0.5910739567
234	0.5906174036
235	0.5900879511
236	0.589673852
237	0.5892983286
238	0.588865697
239	0.5884320335
240	0.5879630947
241	0.5876069149
242	0.5872024279
243	0.5867358404
244	0.5862899728
245	0.5859620289
246	0.5855900955
247	0.585199055
248	0.5847993325
249	0.5843306065
250	0.5838961459
251	0.5833878666
252	0.582965504
253	0.582562709
254	0.5821045262
255	0.5816751378
256	0.5812780523
257	0.5808763571
258	0.580516877
259	0.5801111399
260	0.5796215623
261	0.5792905918
262	0.5788903925
263	0.5785251054
264	0.5780617187
265	0.5776554109
266	0.5772539868
267	0.5768513668
268	0.5763610508
269	0.5759329681
270	0.5755571274
271	0.575083475
272	0.5747356915
273	0.5742535501
274	0.5738833857
275	0.5734442884
276	0.5730698784
277	0.5726765751
278	0.5722668633
279	0.5718609481
280	0.5714725279
281	0.5711570552
282	0.5707916426
283	0.5704162132
284	0.5700161923
285	0.5695828329
286	0.5691374894
287	0.5687403733
288	0.5683719758
289	0.5679237124
290	0.5675828569
291	0.5671615429
292	0.5667163309
293	0.5662969697
294	0.5658096981
295	0.5654173803
296	0.5650409924
297	0.5646358045
298	0.5643105417
299	0.5640021337
300	0.5635756229
301	0.5631220746
302	0.5626841866
303	0.5622848609
304	0.5619392864
305	0.5615178598
306	0.5612305728
307	0.5608096599
308	0.5604525637
309	0.5600201694
310	0.5596209559
311	0.5592824117
312	0.5589300213
313	0.5584805765
314	0.558088154
315	0.557670205
316	0.5573500809
317	0.5569152185
318	0.5565353266
319	0.5561676725
320	0.5557652133
321	0.5554478006
322	0.555095204
323	0.5545958726
324	0.5542022963
325	0.5537568634
326	0.5534577585
327	0.5530263986
328	0.552723207
329	0.5523564681
330	0.5519667382
331	0.5515626055
332	0.551102863
333	0.5507823878
334	0.5504730808
335	0.550089437
336	0.5496972699
337	0.5492821024
338	0.5489162143
339	0.5485675328
340	0.5482774416
341	0.5478585262
342	0.5474846703
343	0.5471585446
344	0.5467231026
345	0.5463368518
346	0.546088967
347	0.545782697
348	0.5454909793
349	0.5450956832
350	0.5446818689
351	0.5443230472
352	0.5440104093
353	0.5436184084
354	0.5433098899
355	0.5429417554
356	0.5426433767
357	0.5423349555
358	0.5419448299
359	0.5415427097
360	0.5411877032
361	0.5408023021
362	0.540477102
363	0.5401178505
364	0.5397985512
365	0.5394167372
366	0.5390045633
367	0.5386143807
368	0.5382455755
369	0.5378714575
370	0.5375036263
371	0.5372006853
372	0.5368795312
373	0.5364889306
374	0.5361152624
375	0.5356735467
376	0.5353246803
377	0.5349862965
378	0.534575565
379	0.5341952894
380	0.5338424529
381	0.5335082149
382	0.5331435852
383	0.5328073847
384	0.5324501472
385	0.5321199387
386	0.5317019569
387	0.5313201093
388	0.5309362035
389	0.5305171351
390	0.5301171926
391	0.5297636797
392	0.5294256644
393	0.5289933664
394	0.5287113467
395	0.5283291482
396	0.5279826324
397	0.5276658144
398	0.5272893433
399	0.526929445
400	0.5265790505
401	0.5262125331
402	0.5259022251
403	0.5255485982
404	0.5251471289
405	0.5247751632
406	0.524402913
407	0.523992556
408	0.5236141739
409	0.5232877458
410	0.5228766423
411	0.522516651
412	0.5221176659
413	0.5217595121
414	0.5213788656
415	0.5209407514
416	0.5206207264
417	0.5203705652
418	0.5200748665
419	0.5197248167
420	0.5193788314
421	0.5190434547
422	0.5187410747
423	0.5184121137
424	0.5180492606
425	0.517645021
426	0.5173108176
427	0.5169440494
