iter	Passed	Remaining
0	105	52409
1	154	38506
2	207	34427
3	255	31621
4	304	30108
5	352	28996
6	401	28310
7	450	27717
8	498	27209
9	549	26911
10	595	26483
11	643	26174
12	691	25910
13	740	25691
14	789	25528
15	840	25428
16	889	25258
17	937	25103
18	985	24936
19	1033	24800
20	1083	24711
21	1133	24627
22	1182	24526
23	1230	24410
24	1278	24283
25	1325	24169
26	1372	24043
27	1421	23955
28	1470	23882
29	1519	23811
30	1567	23714
31	1616	23636
32	1667	23601
33	1717	23541
34	1768	23499
35	1816	23417
36	1866	23361
37	1915	23284
38	1963	23214
39	2013	23158
40	2061	23075
41	2110	23018
42	2160	22963
43	2208	22890
44	2257	22828
45	2309	22792
46	2358	22730
47	2406	22665
48	2456	22605
49	2503	22532
50	2554	22492
51	2604	22435
52	2650	22355
53	2699	22296
54	2749	22245
55	2800	22204
56	2849	22142
57	2901	22107
58	2948	22037
59	2996	21971
60	3046	21924
61	3097	21881
62	3148	21842
63	3197	21781
64	3246	21727
65	3295	21672
66	3342	21601
67	3392	21553
68	3442	21501
69	3490	21444
70	3540	21395
71	3590	21346
72	3638	21280
73	3685	21215
74	3734	21161
75	3781	21097
76	3830	21042
77	3880	20993
78	3928	20935
79	3976	20876
80	4026	20827
81	4078	20788
82	4127	20735
83	4177	20687
84	4228	20645
85	4276	20586
86	4323	20524
87	4371	20466
88	4417	20401
89	4467	20351
90	4515	20292
91	4564	20243
92	4615	20199
93	4666	20155
94	4714	20098
95	4762	20042
96	4810	19987
97	4861	19940
98	4912	19897
99	4961	19847
100	5012	19800
101	5058	19739
102	5107	19687
103	5155	19630
104	5203	19573
105	5251	19517
106	5299	19462
107	5345	19403
108	5394	19351
109	5443	19298
110	5490	19242
111	5539	19190
112	5587	19135
113	5633	19074
114	5682	19023
115	5729	18967
116	5778	18915
117	5825	18858
118	5876	18815
119	5926	18768
120	5976	18720
121	6024	18665
122	6072	18611
123	6121	18561
124	6171	18513
125	6221	18467
126	6272	18421
127	6322	18374
128	6370	18321
129	6418	18267
130	6468	18221
131	6518	18171
132	6566	18120
133	6615	18068
134	6666	18024
135	6715	17974
136	6762	17919
137	6810	17865
138	6863	17824
139	6912	17773
140	6961	17724
141	7008	17670
142	7055	17615
143	7103	17561
144	7154	17516
145	7204	17468
146	7251	17412
147	7300	17363
148	7352	17320
